Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1,0,View,351120,25.1,187.1,0.169,Multimodal,697550.4,1.093,85.124,1,A1,3511202,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:09:53,10.0
A2,38,View,411676,25.1,348.6,0.162,Multimodal,2990407.7,1.194,520.914,2,A2,4116756,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:10:31,10.0
A3,76,View,209308,25.1,74.6,0.065,Multimodal,81172.3,1.008,36.562,3,A3,2093076,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:11:09,10.0
A4,1.1e+02,View,431623,25.0,105.3,0.064,Multimodal,181538.2,1.034,10.661,4,A4,4316226,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:11:47,10.0
A5,1.5e+02,View,366167,25.0,89.6,0.111,Multimodal,124666.3,1.060,24.232,5,A5,3661669,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:12:25,10.0
A6,1.9e+02,View,330349,25.0,137.7,0.081,Multimodal,340084.8,1.044,16.667,6,A6,3303487,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:13:04,10.0
A7,2.3e+02,View,277011,25.0,72.4,0.064,51.7,75695.3,1.027,5.215,7,A7,2770115,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:13:42,10.0
A8,2.7e+02,View,285508,25.0,132.3,0.098,Multimodal,309721.3,1.029,12.795,8,A8,2855078,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:14:21,10.0
A9,3.1e+02,View,205589,25.0,186.9,0.088,0.0,695723.4,1.008,212.944,9,A9,2055886,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:14:59,10.0
A10,3.5e+02,View,211556,25.0,85.2,0.087,Multimodal,110807.6,1.067,31.240,10,A10,2115558,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:15:38,10.0
A11,3.8e+02,View,216960,25.0,91.0,0.066,Multimodal,129093.6,1.045,18.593,11,A11,2169596,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:16:16,10.0
A12,4.2e+02,View,224197,25.0,44.2,0.053,Multimodal,23787.3,1.023,9.951,12,A12,2241970,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:16:55,10.0
B1,4.7e+02,View,124792,25.0,61.8,0.037,Multimodal,52291.1,1.018,14.105,13,B1,1247922,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:17:41,10.0
