Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1 (Incomplete),0,View,--,--,--,--,--,--,--,--,1,A1,--,1,1,0,5.0,Water,1.333,--,Aqueous,15:08:29,9.2
A2 (Incomplete),25,View,--,--,--,--,--,--,--,--,2,A2,--,1,1,0,5.0,Water,1.333,--,Aqueous,15:08:54,6.8
A3 (Incomplete),1.6e+02,View,16089593,25.0,100.8,0.079,44.8,163868.1,1.001,0.245,3,A3,160895931,4,4,0,5.0,Water,1.333,0.89,Aqueous,15:11:13,10.0
A4,2.6e+02,View,16072657,25.0,98.3,0.081,49.7,154468.4,1.002,0.172,4,A4,160726572,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:12:45,10.0
A5,3.1e+02,View,13820964,25.0,110.7,0.081,Multimodal,204145.2,1.005,0.418,5,A5,138209639,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:13:35,10.0
A6,3.5e+02,View,13822818,25.0,110.5,0.093,45.8,203187.7,1.002,0.185,6,A6,138228178,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:14:14,10.0
A7,4.1e+02,View,11290235,25.0,137.8,0.123,Multimodal,340666.2,1.010,2.765,7,A7,112902344,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:15:15,10.0
A8,4.4e+02,View,10468771,25.0,200.6,0.133,0.0,820542.8,1.009,600.668,8,A8,104687711,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:15:53,10.0
A9,4.9e+02,View,10648042,25.0,158.5,0.124,Multimodal,473097.6,1.017,29.258,9,A9,106480421,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:16:36,10.0
A10,5.3e+02,View,3402034,25.0,210.4,0.208,Multimodal,917394.8,1.061,62.813,10,A10,34020337,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:17:15,10.0
A11,5.6e+02,View,2054015,25.0,202.0,0.284,Multimodal,834193.6,1.052,26.946,11,A11,20540150,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:17:53,10.0
A12,6e+02,View,2708804,25.0,221.7,0.265,Multimodal,1037439.2,1.099,95.213,12,A12,27088039,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:18:31,10.0
B1,6.5e+02,View,425494,25.0,214.1,0.280,Multimodal,955976.8,1.143,110.621,13,B1,4254937,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:19:18,10.0
B2,6.9e+02,View,253954,25.0,206.2,0.150,Multimodal,875479.0,1.017,21.560,14,B2,2539536,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:19:57,10.0
B3,7.3e+02,View,323681,25.0,594.5,0.243,Multimodal,10428073.6,1.057,96.595,15,B3,3236805,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:20:35,10.0
B4,7.6e+02,View,202674,25.0,203.2,0.058,Multimodal,845743.3,1.013,5.852,16,B4,2026736,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:21:13,10.0
B5,8e+02,View,237531,25.0,266.5,0.076,Multimodal,1594846.8,1.018,11.514,17,B5,2375314,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:21:51,10.0
B6,8.4e+02,View,176723,25.0,280.0,0.234,Multimodal,1791053.5,1.062,54.847,18,B6,1767233,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:22:29,10.0
B7,8.8e+02,View,156668,25.0,88.8,0.045,Multimodal,121997.4,1.008,11.525,19,B7,1566680,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:23:07,10.0
B8,9.2e+02,View,65462,25.0,1.4,0.011,Multimodal,7.9,1.002,43.242,20,B8,654616,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:23:46,10.0
B9,9.6e+02,View,158075,25.0,56.7,0.099,Multimodal,42694.5,1.003,145.221,21,B9,1580745,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:24:24,10.0
B10,9.9e+02,View,172054,25.0,54.6,0.010,Multimodal,39048.0,1.000,4.857,22,B10,1720535,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:25:02,10.0
B11,1e+03,View,86611,25.0,1.7,0.009,Multimodal,11.2,1.002,19.221,23,B11,866106,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:25:40,10.0
B12,1.1e+03,View,216282,25.0,0.8,0.007,Multimodal,1.9,1.002,10.553,24,B12,2162815,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:26:19,10.0
C1,1.1e+03,View,580571,25.0,80.0,0.109,Multimodal,95404.2,1.023,124.877,25,C1,5805709,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:27:05,10.0
C2,1.2e+03,View,156828,25.0,42.6,0.042,Multimodal,21852.4,1.003,27.420,26,C2,1568281,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:27:50,10.0
C3,1.2e+03,View,259808,25.0,36.7,0.040,Multimodal,15456.3,1.000,11.624,27,C3,2598077,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:28:28,10.0
C4,1.2e+03,View,184763,25.0,124.5,0.017,Multimodal,269012.3,1.013,12.600,28,C4,1847631,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:29:07,10.0
C5,1.3e+03,View,177024,25.0,6038.7,0.573,Multimodal,2364995923.9,1.146,1401.463,29,C5,1770236,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:29:46,10.0
C6,1.3e+03,View,1393349,25.0,221.2,0.509,0.0,1031376.5,0.962,20634.730,30,C6,13933489,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:30:24,10.0
C7,1.4e+03,View,674298,25.0,1548.5,0.568,Multimodal,97939056.2,1.492,1344.562,31,C7,6742982,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:31:03,10.0
C8,1.4e+03,View,398902,25.0,232.6,0.260,0.0,1160199.4,0.977,7934.870,32,C8,3989025,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:31:41,10.0
C9,1.4e+03,View,590974,25.0,288.5,1.168,0.0,1920416.5,0.991,162056.158,33,C9,5909744,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:32:19,10.0
C10,1.5e+03,View,2726135,25.0,268.9,1.135,0.0,1629525.8,0.909,222920.831,34,C10,27261345,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:32:57,10.0
