Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1,7.5e+03,View,1708938,25.0,216.4,0.125,0.0,980112.4,1.047,438.047,3,A1,17089377,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:23:48,10.0
A2,7.5e+03,View,1023857,25.0,296.5,0.245,0.0,2047715.4,0.972,8025.438,4,A2,10238569,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:24:27,10.0
A3,7.6e+03,View,733778,25.0,73.3,0.085,Multimodal,77783.3,1.000,105.853,5,A3,7337777,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:25:05,10.0
A4,7.6e+03,View,386832,25.0,59.1,0.057,Multimodal,46956.2,1.004,31.652,6,A4,3868316,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:25:44,10.0
A5,7.7e+03,View,1031231,25.0,216.5,0.202,0.0,980995.8,1.010,1281.954,7,A5,10312311,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:26:23,10.0
A6,7.7e+03,View,1532833,25.0,228.0,0.284,0.0,1107053.9,0.984,5021.960,8,A6,15328325,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:27:01,10.0
A7,7.7e+03,View,358968,25.0,143.3,0.095,8.9,373371.1,1.017,192.684,9,A7,3589677,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:27:39,10.0
A8,7.8e+03,View,494147,25.0,136.7,0.257,0.0,334637.7,1.043,3721.311,10,A8,4941468,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:28:19,10.0
A9,7.8e+03,View,420101,25.0,153.5,0.108,0.0,438469.3,1.003,134.391,11,A9,4201012,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:28:58,10.0
A10,7.9e+03,View,297148,25.0,121.2,0.135,0.0,252670.3,1.006,651.837,12,A10,2971482,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:29:38,10.0
A11,7.9e+03,View,407112,25.0,153.1,0.085,0.0,435851.8,1.006,52.799,13,A11,4071118,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:30:16,10.0
A12,7.9e+03,View,315185,25.0,66.9,0.095,32.8,62758.8,1.003,80.454,14,A12,3151853,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:30:54,10.0
B1,8e+03,View,285320,25.0,265.5,0.164,0.0,1581458.3,0.984,3788.682,15,B1,2853202,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:31:41,10.0
B2,8e+03,View,120539,25.0,54.3,0.037,41.2,38565.0,1.003,11.606,16,B2,1205392,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:32:19,10.0
B3,8.1e+03,View,98982,25.0,72.3,0.059,Multimodal,75339.1,1.046,18.941,17,B3,989817,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:32:58,10.0
B4,8.1e+03,View,119575,25.0,51.7,0.075,13.3,34325.7,1.001,25.450,18,B4,1195750,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:33:38,10.0
B5,8.1e+03,View,113576,25.0,1.2,0.028,Multimodal,4.8,1.006,110.116,19,B5,1135763,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:34:16,10.0
B6,8.2e+03,View,321344,25.0,207.7,0.065,0.0,890408.0,0.999,197.123,20,B6,3213436,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:34:55,10.0
B7,8.2e+03,View,92453,25.0,0.5,0.017,Multimodal,0.7,1.002,133.432,21,B7,924531,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:35:34,10.0
B8,8.2e+03,View,135461,25.0,113.1,0.026,0.0,214648.8,1.001,17.710,22,B8,1354608,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:36:13,10.0
