Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1 (Incomplete),0,View,--,--,--,--,--,--,--,--,1,A1,--,1,1,0,5.0,Water,1.333,--,Aqueous,12:56:08,6.8
A2 (Incomplete),23,View,--,--,--,--,--,--,--,--,2,A2,--,1,1,0,5.0,Water,1.333,--,Aqueous,12:56:31,5.6
A3,47,View,70829,25.0,0.6,0.019,Multimodal,1.0,1.003,58.016,3,A3,708287,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:56:55,10.0
A4,85,View,74210,25.0,2.0,0.005,Multimodal,17.7,1.005,28.880,4,A4,742098,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:57:33,10.0
A5,1.2e+02,View,10734699,25.1,167.6,0.111,Multimodal,539073.5,1.016,3.371,5,A5,107346988,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:58:11,10.0
A6 (Incomplete),1.9e+02,View,--,--,--,--,--,--,--,--,6,A6,--,1,1,0,5.0,Water,1.333,--,Aqueous,12:59:20,6.0
A7,2.2e+02,View,6486563,25.1,111.6,0.133,46.8,207927.9,1.022,0.504,7,A7,64865625,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:59:45,10.0
A8,2.6e+02,View,15460152,25.0,132.7,0.076,Multimodal,311892.3,1.004,0.248,8,A8,154601523,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:00:24,10.0
A9,3.3e+02,View,16115770,25.0,123.8,0.071,Multimodal,265314.6,1.002,0.122,9,A9,161157700,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:01:35,10.0
A10,4.4e+02,View,6977831,25.0,194.0,0.138,Multimodal,759306.5,1.023,8.973,10,A10,69778312,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:03:23,10.0
A11,4.7e+02,View,7765328,25.0,109.5,0.081,Multimodal,198861.0,1.017,25.263,11,A11,77653282,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:04:02,10.0
A12,5.1e+02,View,13647927,25.0,165.0,0.084,Multimodal,519244.4,1.014,3.979,12,A12,136479266,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:04:40,10.0
B1,5.6e+02,View,6244619,25.0,510.8,0.217,Multimodal,7310178.2,1.119,185.685,13,B1,62446184,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:05:27,10.0
B2,6e+02,View,2853281,25.0,214.5,0.211,Multimodal,959945.1,1.017,26.131,14,B2,28532808,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:06:05,10.0
B3,6.4e+02,View,975135,25.0,218.4,0.199,Multimodal,1001233.7,1.043,56.584,15,B3,9751348,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:06:44,10.0
B4,6.8e+02,View,1460295,25.0,207.2,0.257,Multimodal,884901.3,1.031,107.056,16,B4,14602949,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:07:23,10.0
B5,7.1e+02,View,433604,25.0,201.0,0.155,Multimodal,824457.8,1.030,65.370,17,B5,4336035,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:08:01,10.0
B6,7.5e+02,View,153782,25.0,106.8,0.052,Multimodal,187656.9,1.011,12.272,18,B6,1537818,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:08:40,10.0
B7,7.9e+02,View,190108,25.0,57.9,0.017,Multimodal,44769.3,1.001,6.373,19,B7,1901078,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:09:18,10.0
B8,8.3e+02,View,98753,25.0,36.5,0.030,Multimodal,15236.1,1.001,26.975,20,B8,987533,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:09:57,10.0
B9,8.7e+02,View,264173,25.0,34.8,0.091,Multimodal,13609.3,1.002,123.127,21,B9,2641731,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:10:36,10.0
B10,9.1e+02,View,8844228,25.0,331.6,0.231,0.0,2659914.8,0.970,10789.933,22,B10,88442275,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:11:14,10.0
B11,9.5e+02,View,2653605,25.0,309.5,0.135,0.0,2263293.4,0.984,2828.162,23,B11,26536052,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:11:53,10.0
B12,9.8e+02,View,201572,25.0,124.1,0.067,0.0,266781.2,0.998,92.208,24,B12,2015724,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:12:31,10.0
C1,1e+03,View,313141,25.0,475.1,0.189,Multimodal,6170003.1,1.061,74.726,25,C1,3131410,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:13:18,10.0
C2,1.1e+03,View,225809,25.0,263.9,0.163,Multimodal,1558669.1,1.020,25.618,26,C2,2258089,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:13:57,10.0
C3,1.1e+03,View,57648,25.0,--,0.000,--,--,1.000,10000000.000,27,C3,576480,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:14:35,10.0
