Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1 (Incomplete),0,View,--,--,--,--,--,--,--,--,1,A1,--,1,1,0,5.0,Water,1.333,--,Aqueous,13:41:27,4.3
A2,26,View,1086610,25.1,395.2,0.108,Multimodal,4011799.1,1.207,194.245,2,A2,10866099,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:41:53,10.0
A3 (Incomplete),1e+02,View,1677200,25.0,1160.0,0.209,Multimodal,49823777.8,1.182,351.295,3,A3,16771997,4,4,0,5.0,Water,1.333,0.89,Aqueous,13:43:08,10.0
A4,1.5e+02,View,3666616,25.0,3520.1,0.773,Multimodal,668989989.8,1.986,597.298,4,A4,36666164,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:43:54,10.0
A5 (Incomplete),2.4e+02,View,3115754,25.0,3541.6,0.555,Multimodal,678557428.5,2.076,349.604,5,A5,31157537,2,2,0,5.0,Water,1.333,0.89,Aqueous,13:45:22,10.0
A6 (Incomplete),2.8e+02,View,--,--,--,--,--,--,--,--,6,A6,--,1,1,0,5.0,Water,1.333,--,Aqueous,13:46:08,0.6
A7,3.3e+02,View,3537696,25.0,3083.2,0.470,Multimodal,490629877.4,1.420,107.419,7,A7,35376962,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:46:59,10.0
A8,3.9e+02,View,11163483,25.0,3983.7,0.452,Multimodal,893561301.1,1.702,103.829,8,A8,111634829,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:47:58,10.0
A9 (Incomplete),4.9e+02,View,2017145,25.0,3516.6,1.155,Multimodal,667397681.9,1.693,1140.336,9,A9,20171447,2,2,0,5.0,Water,1.333,0.89,Aqueous,13:49:40,10.0
A10 (Incomplete),5.4e+02,View,--,--,--,--,--,--,--,--,10,A10,--,1,1,0,5.0,Water,1.333,--,Aqueous,13:50:25,8.2
A11 (Incomplete),5.7e+02,View,15927083,25.0,2392.4,0.352,Multimodal,271011598.0,1.488,88.828,11,A11,159270831,4,4,0,5.0,Water,1.333,0.89,Aqueous,13:50:59,10.0
A12,6.9e+02,View,3623311,25.0,2631.6,0.896,Multimodal,338699546.7,2.259,908.938,12,A12,36233108,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:52:53,10.0
B1 (Incomplete),8.2e+02,View,--,--,--,--,--,--,--,--,13,B1,--,1,1,0,5.0,Water,1.333,--,Aqueous,13:55:04,5.6
B2 (Incomplete),8.4e+02,View,3131230,25.0,3516.3,0.771,Multimodal,667287200.5,1.578,726.287,14,B2,31312303,4,4,0,5.0,Water,1.333,0.89,Aqueous,13:55:28,10.0
B3 (Incomplete),9.8e+02,View,5081484,25.0,300.9,0.481,0.0,2119903.2,1.088,20446.994,15,B3,50814841,4,4,0,5.0,Water,1.333,0.89,Aqueous,13:57:45,10.0
B4,1.1e+03,View,1098486,25.0,3767.6,1.343,Multimodal,784256137.0,2.046,1015.577,16,B4,10984865,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:00:02,10.0
B5,1.2e+03,View,382574,25.0,1544.9,0.325,Multimodal,97403306.8,1.396,222.053,17,B5,3825738,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:01:25,10.0
B6,1.2e+03,View,450323,25.0,9592.3,1.991,Multimodal,6983613093.2,0.671,3686.608,18,B6,4503227,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:02:03,10.0
B7,1.3e+03,View,189121,25.0,96.1,0.058,32.9,146838.3,1.000,21.615,19,B7,1891211,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:02:48,10.0
B8,1.3e+03,View,772468,25.0,41.5,0.036,0.0,20600.7,1.000,5.981,20,B8,7724683,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:03:26,10.0
B9,1.4e+03,View,413329,25.0,279.7,0.157,0.0,1785582.4,0.988,2390.092,21,B9,4133295,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:04:05,10.0
B10,1.4e+03,View,12671741,25.0,247.5,0.025,0.0,1342121.9,0.999,36.821,22,B10,126717405,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:04:44,10.0
B11,1.4e+03,View,406768,25.0,285.8,0.464,0.0,1878177.4,0.943,35311.350,23,B11,4067679,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:05:22,10.0
B12,1.5e+03,View,61094,25.0,2.4,0.011,Multimodal,27.2,1.002,52.812,24,B12,610939,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:06:01,10.0
C1,1.5e+03,View,536051,25.0,301.5,0.099,0.0,2129047.1,1.020,311.977,25,C1,5360515,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:06:47,10.0
C2,1.6e+03,View,495328,25.0,115.7,0.151,14.8,226339.9,1.011,706.922,26,C2,4953285,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:07:34,10.0
C3,1.6e+03,View,2361930,25.0,826.2,0.020,Multimodal,22519090.4,1.006,6.118,27,C3,23619304,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:08:12,10.0
C4,1.6e+03,View,174870,25.0,227.0,0.126,0.0,1096403.6,0.993,1634.653,28,C4,1748704,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:08:52,10.0
C5,1.7e+03,View,392591,25.0,339.2,0.423,Multimodal,2805575.6,1.092,1774.917,29,C5,3925910,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:09:30,10.0
C6,1.7e+03,View,448737,25.0,42.5,0.051,0.0,21787.6,1.001,11.719,30,C6,4487370,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:10:09,10.0
C7,1.8e+03,View,231796,25.0,40.2,0.027,0.0,19035.7,1.000,5.706,31,C7,2317957,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:10:47,10.0
C8,1.8e+03,View,146702,25.0,47.1,0.051,52.0,27715.3,1.001,33.251,32,C8,1467021,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:11:26,10.0
C9,1.8e+03,View,240791,25.0,143.1,0.084,0.0,372362.6,1.010,166.826,33,C9,2407910,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:12:05,10.0
C10,1.9e+03,View,225956,25.0,266.4,0.215,0.0,1594253.1,0.976,6731.053,34,C10,2259557,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:12:42,10.0
C11,1.9e+03,View,265943,25.0,204.1,0.313,0.0,854145.8,0.989,6282.341,35,C11,2659430,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:13:20,10.0
C12,2e+03,View,524115,25.0,176.4,0.166,0.0,607325.3,1.005,1253.452,36,C12,5241152,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:14:00,10.0
D1,2e+03,View,67349,25.0,0.6,0.002,Multimodal,0.8,1.005,231.468,37,D1,673492,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:14:46,10.0
D2,2e+03,View,57725,25.0,0.4,0.013,Multimodal,0.3,1.002,47.872,38,D2,577248,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:15:26,10.0
D3,2.1e+03,View,75373,25.0,0.3,-0.003,29.2,0.2,1.000,36.312,39,D3,753731,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:16:04,10.0
D4,2.1e+03,View,61598,25.0,0.7,0.016,Multimodal,1.6,1.002,52.323,40,D4,615975,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:16:43,10.0
D5,2.2e+03,View,67474,25.0,--,0.000,--,--,1.000,10000000.000,41,D5,674742,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:17:21,10.0
D6,2.2e+03,View,496367,25.0,22.8,0.014,30.3,5071.4,1.000,1.698,42,D6,4963674,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:18:00,10.0
D7,2.2e+03,View,373013,25.0,0.8,0.001,Multimodal,1.9,1.000,0.963,43,D7,3730131,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:18:38,10.0
D8,2.3e+03,View,64925,25.0,--,0.000,--,--,1.000,10000000.000,44,D8,649248,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:19:16,10.0
D9,2.3e+03,View,87109,25.0,1.0,0.010,Multimodal,3.8,1.001,17.089,45,D9,871091,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:19:54,10.0
D10,2.3e+03,View,91569,25.0,1.1,0.004,Multimodal,4.0,1.001,13.950,46,D10,915690,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:20:33,10.0
D11,2.4e+03,View,49898,25.0,--,0.000,--,--,1.000,10000000.000,47,D11,498983,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:21:11,10.0
D12,2.4e+03,View,46605,25.0,--,0.000,--,--,1.000,10000000.000,48,D12,466046,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:21:50,10.0
E1,2.5e+03,View,138937,25.0,392.3,0.194,Multimodal,3941394.7,1.092,57.489,49,E1,1389369,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:22:37,10.0
E2,2.5e+03,View,403521,25.0,186.3,0.038,27.5,690093.6,1.006,1.151,50,E2,4035214,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:23:15,10.0
E3,2.5e+03,View,119493,25.0,148.8,0.053,Multimodal,407782.2,1.008,12.885,51,E3,1194929,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:23:54,10.0
E4,2.6e+03,View,209399,25.0,724.2,0.175,Multimodal,16547958.8,1.063,40.004,52,E4,2093990,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:24:32,10.0
E5,2.6e+03,View,151042,25.0,216.3,0.030,Multimodal,978599.0,1.009,11.463,53,E5,1510416,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:25:11,10.0
E6,2.7e+03,View,121075,25.0,151.7,0.045,Multimodal,426970.7,1.009,18.022,54,E6,1210753,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:25:50,10.0
E7,2.7e+03,View,130138,25.0,122.8,0.034,Multimodal,260186.5,1.009,13.470,55,E7,1301376,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:26:28,10.0
E8,2.7e+03,View,86502,25.0,0.5,0.023,Multimodal,0.6,1.003,62.021,56,E8,865024,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:27:06,10.0
E9,2.8e+03,View,288250,25.0,113.3,0.130,0.0,215574.4,1.011,2113.216,57,E9,2882496,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:27:45,10.0
E10,2.8e+03,View,216170,25.0,133.0,0.127,0.0,313965.0,1.004,2348.565,58,E10,2161697,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:28:24,10.0
E11,2.9e+03,View,2382435,25.0,309.7,0.408,0.0,2267892.3,0.958,23728.827,59,E11,23824350,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:29:01,10.0
E12,2.9e+03,View,141789,25.0,57.4,0.032,Multimodal,43860.0,1.002,22.853,60,E12,1417892,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:29:40,10.0
F1,2.9e+03,View,102645,25.0,348.9,0.052,Multimodal,2995918.7,1.063,26.908,61,F1,1026454,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:30:26,10.0
F2,3e+03,View,70378,25.0,1.2,0.025,Multimodal,5.0,1.014,115.839,62,F2,703778,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:31:05,10.0
F3,3e+03,View,87500,25.0,0.4,0.025,Multimodal,0.5,1.009,176.023,63,F3,875002,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:31:44,10.0
F4,3.1e+03,View,252424,25.0,40.9,0.021,Multimodal,19897.6,1.008,2.771,64,F4,2524236,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:32:22,10.0
F5,3.1e+03,View,124771,25.0,1.8,0.027,Multimodal,12.7,1.006,99.371,65,F5,1247713,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:33:00,10.0
F6,3.1e+03,View,86589,25.0,--,0.000,--,--,1.000,10000000.000,66,F6,865885,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:33:39,10.0
F7,3.2e+03,View,119854,25.0,0.3,-0.002,29.2,0.2,1.000,18.257,67,F7,1198537,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:34:17,10.0
F8,3.2e+03,View,77462,25.0,0.6,0.021,Multimodal,1.2,1.003,55.205,68,F8,774623,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:34:56,10.0
F9,3.2e+03,View,111593,25.0,216.4,0.029,0.0,979510.8,0.999,92.467,69,F9,1115934,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:35:34,10.0
F10,3.3e+03,View,196628,25.0,120.5,0.013,Multimodal,249028.9,1.000,8.442,70,F10,1966280,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:36:13,10.0
F11,3.3e+03,View,114740,25.0,38.4,0.015,0.0,17184.3,1.001,8.896,71,F11,1147403,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:36:52,10.0
F12,3.4e+03,View,101577,25.0,243.9,0.135,0.0,1295953.6,0.991,792.040,72,F12,1015770,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:37:30,10.0
G1,3.4e+03,View,4337679,25.0,155.8,0.074,16.2,454194.0,1.071,0.308,73,G1,43376788,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:38:15,10.0
G2,3.4e+03,View,4788458,25.0,132.6,0.093,12.6,311473.0,1.081,0.256,74,G2,47884575,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:38:54,10.0
G3,3.5e+03,View,4899370,25.0,163.5,0.088,32.3,508770.8,1.056,1.207,75,G3,48993700,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:39:33,10.0
G4,3.5e+03,View,5020928,25.0,127.1,0.091,22.4,282361.7,1.016,0.772,76,G4,50209275,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:40:11,10.0
G5,3.6e+03,View,13335947,25.0,106.8,0.025,28.9,187672.8,1.002,2.568,77,G5,133359469,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:40:50,10.0
G6,3.6e+03,View,9622819,25.0,83.2,0.059,Multimodal,104648.2,1.020,7.179,78,G6,96228190,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:41:37,10.0
G7,3.6e+03,View,8658634,25.0,115.2,0.055,Multimodal,224256.2,1.020,16.161,79,G7,86586340,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:42:16,10.0
G8,3.7e+03,View,5706586,25.0,161.9,0.058,42.0,497189.8,1.059,0.361,80,G8,57065858,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:42:54,10.0
G9,3.7e+03,View,3440793,25.0,125.6,0.078,8.8,274375.4,1.076,0.296,81,G9,34407927,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:43:38,10.0
G10,3.8e+03,View,5078788,25.0,142.9,0.126,4.2,371142.4,1.082,0.389,82,G10,50787883,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:44:17,10.0
G11,3.8e+03,View,3887439,25.0,104.5,0.099,0.0,178573.5,1.110,4.321,83,G11,38874386,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:44:55,10.0
G12,3.8e+03,View,5254452,25.0,172.3,0.069,6.4,574704.2,1.004,239.809,84,G12,52544519,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:45:34,10.0
H1,3.9e+03,View,3355704,25.0,128.5,0.148,Multimodal,289597.8,1.199,16.596,85,H1,33557038,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:46:20,10.0
H2,3.9e+03,View,2686964,25.0,115.2,0.122,21.8,224196.0,1.118,0.963,86,H2,26869642,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:46:59,10.0
H3,4e+03,View,1827196,25.0,120.9,0.084,33.1,250814.7,1.076,0.691,87,H3,18271961,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:47:38,10.0
H4,4e+03,View,2843359,25.0,116.4,0.109,38.2,229582.0,1.322,0.906,88,H4,28433591,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:48:16,10.0
H5,4e+03,View,2748250,25.0,95.1,0.083,55.9,143050.9,1.262,2.339,89,H5,27482501,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:48:55,10.0
H6,4.1e+03,View,1329650,25.0,95.1,0.078,31.2,142979.7,1.077,0.568,90,H6,13296503,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:49:33,10.0
H7,4.1e+03,View,527597,25.0,82.7,0.125,30.6,103126.3,1.184,2.751,91,H7,5275967,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:50:12,10.0
H8,4.2e+03,View,1163765,25.0,109.3,0.069,26.7,198127.3,1.069,0.279,92,H8,11637649,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:50:50,10.0
H9,4.2e+03,View,684373,25.0,73.5,0.075,Multimodal,78425.0,1.242,4.001,93,H9,6843731,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:51:29,10.0
