Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1,86,View,4384538,25.0,189.9,0.336,51.5,721636.2,1.030,3.219,11,A1,438453670,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:53:13,20.0
A2,1.4e+02,View,5394484,25.0,168.8,0.249,42.6,548242.3,1.009,2.284,12,A2,431558629,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:54:02,25.0
A3,1.9e+02,View,4883008,25.0,222.0,0.254,Multimodal,1040258.5,1.015,7.897,13,A3,325533779,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:54:54,30.0
A4,2.3e+02,View,4449237,25.0,255.1,0.265,Multimodal,1439670.7,1.035,18.474,14,A4,254242055,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:55:38,35.0
A5 (Incomplete),2.8e+02,View,9356553,25.0,448.6,0.311,Multimodal,5396448.4,1.096,39.926,15,A5,207923357,2,2,0,5.0,Water,1.333,0.89,Aqueous,14:56:29,90.0
A6,4.2e+02,View,5892949,25.0,321.8,0.252,Multimodal,2479083.7,1.032,14.036,16,A6,294647363,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:58:49,40.0
A7 (Incomplete),5.6e+02,View,5982441,25.0,405.1,0.250,Multimodal,4250267.8,1.033,53.017,17,A7,144923541,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:01:02,80.0
A8 (Incomplete),7e+02,View,3264907,25.0,346.3,0.234,Multimodal,2943913.1,1.089,28.550,18,A8,29624950,4,4,0,5.0,Water,1.333,0.89,Aqueous,15:03:22,35.0
A9,8.4e+02,View,3406835,25.0,267.7,0.209,0.0,1611938.8,1.030,3724.630,19,A9,189268567,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:05:42,25.0
A10,8.8e+02,View,4341194,25.0,223.6,0.196,0.0,1057749.1,1.034,2978.685,20,A10,24812493,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:06:31,75.0
A11,9.3e+02,View,4954790,25.0,173.2,0.764,0.0,582160.3,0.967,42895.265,21,A11,141565391,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:07:17,70.0
