Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1,0,View,84721,25.0,77.2,0.103,53.9,87992.9,1.018,23.254,1,A1,847209,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:58:31,10.0
A2,39,View,72721,25.0,12.6,0.043,Multimodal,1269.7,1.015,190.305,2,A2,727208,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:59:10,10.0
A3,77,View,92606,25.1,92.2,0.039,Multimodal,133269.8,1.002,28.178,3,A3,926058,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:59:48,10.0
A4,1.2e+02,View,71219,25.1,77.1,0.047,Multimodal,87512.6,1.005,19.177,4,A4,712195,5,5,0,5.0,Water,1.333,0.88,Aqueous,15:00:27,10.0
A5,1.5e+02,View,118297,25.1,101.5,0.043,Multimodal,166838.8,1.021,14.604,5,A5,1182972,5,5,0,5.0,Water,1.333,0.88,Aqueous,15:01:05,10.0
A6,1.9e+02,View,102433,25.1,71.2,0.043,Multimodal,72676.9,1.067,25.507,6,A6,1024330,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:01:43,10.0
A7,2.3e+02,View,89588,25.1,87.0,0.025,Multimodal,116270.4,1.002,22.064,7,A7,895884,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:02:21,10.0
A8,2.7e+02,View,81207,25.0,90.8,0.028,Multimodal,128394.2,1.010,24.618,8,A8,812073,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:03:00,10.0
A9,3.1e+02,View,89655,25.0,80.3,0.036,Multimodal,96482.3,1.004,27.718,9,A9,896548,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:03:38,10.0
A10,3.5e+02,View,152922,25.0,245.3,0.721,0.0,1314067.3,0.986,52175.926,10,A10,1529222,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:04:17,10.0
A11,3.9e+02,View,1703308,25.0,309.4,0.380,0.0,2261481.7,0.975,20983.476,11,A11,17033077,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:04:56,10.0
A12,4.2e+02,View,189447,25.0,221.1,0.133,0.0,1030730.8,0.994,1484.150,12,A12,1894468,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:05:34,10.0
B1,4.7e+02,View,62401,25.0,0.5,0.001,Multimodal,0.8,1.011,62.400,13,B1,624007,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:06:20,10.0
B2,5.1e+02,View,44025,25.0,--,0.000,--,--,1.000,10000000.000,14,B2,440246,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:07:00,10.0
B3,5.5e+02,View,77712,25.0,0.7,0.006,Multimodal,1.7,1.001,22.352,15,B3,777118,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:07:38,10.0
B4,5.9e+02,View,70564,25.0,0.6,0.004,Multimodal,1.1,1.001,26.380,16,B4,705643,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:08:16,10.0
B5,6.2e+02,View,69587,25.0,0.5,0.014,Multimodal,0.6,1.001,31.066,17,B5,695872,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:08:54,10.0
B6,6.6e+02,View,71488,25.0,--,0.000,--,--,1.000,10000000.000,18,B6,714881,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:09:33,10.0
B7,7e+02,View,133123,25.0,0.8,0.004,Multimodal,2.3,1.007,27.133,19,B7,1331227,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:10:11,10.0
B8,7.4e+02,View,102778,25.0,0.5,0.011,Multimodal,0.7,1.002,25.710,20,B8,1027776,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:10:49,10.0
B9,7.8e+02,View,62685,25.0,0.4,0.018,Multimodal,0.4,1.003,175.526,21,B9,626848,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:11:27,10.0
B10,8.2e+02,View,71921,25.0,0.8,0.004,Multimodal,1.9,1.010,95.175,22,B10,719208,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:12:06,10.0
B11,8.5e+02,View,52349,25.0,--,0.000,--,--,1.000,10000000.000,23,B11,523487,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:12:44,10.0
B12,8.9e+02,View,101943,25.0,0.7,0.006,Multimodal,1.6,1.001,15.316,24,B12,1019433,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:13:22,10.0
C1,9.4e+02,View,514527,25.0,48.4,0.195,20.8,29459.9,1.019,1.268,25,C1,5145270,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:14:08,10.0
C2,9.8e+02,View,363084,25.0,49.1,0.163,24.6,30549.2,1.019,1.496,26,C2,3630837,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:14:47,10.0
C3,1e+03,View,392799,25.0,60.4,0.161,39.8,49430.2,1.048,1.650,27,C3,3927991,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:15:25,10.0
C4,1.1e+03,View,311099,25.0,65.1,0.137,43.8,58984.7,1.008,3.067,28,C4,3110986,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:16:04,10.0
C5,1.1e+03,View,218428,25.0,59.1,0.119,42.2,46998.1,1.005,5.070,29,C5,2184282,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:16:42,10.0
C6,1.1e+03,View,269034,25.0,66.9,0.131,33.1,62876.8,1.003,4.193,30,C6,2690343,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:17:22,10.0
C7,1.2e+03,View,213361,25.0,66.9,0.109,26.9,62832.5,1.002,5.183,31,C7,2133612,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:18:00,10.0
C8,1.2e+03,View,212539,25.0,76.3,0.075,51.3,85408.4,1.003,3.855,32,C8,2125390,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:18:39,10.0
C9,1.2e+03,View,217188,25.0,90.3,0.092,Multimodal,126663.9,1.008,3.021,33,C9,2171883,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:19:17,10.0
C10,1.3e+03,View,182315,25.0,124.2,0.096,Multimodal,267166.3,1.014,7.477,34,C10,1823153,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:19:55,10.0
C11,1.3e+03,View,208032,25.0,76.4,0.059,Multimodal,85623.4,1.005,5.380,35,C11,2080317,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:20:33,10.0
C12,1.4e+03,View,140518,25.0,121.9,0.106,Multimodal,255883.3,1.016,9.168,36,C12,1405182,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:21:11,10.0
D1,1.4e+03,View,88686,25.0,117.5,0.071,Multimodal,234639.2,1.016,24.778,37,D1,886863,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:21:57,10.0
D2,1.4e+03,View,111056,25.0,142.0,0.061,Multimodal,365550.6,1.008,12.411,38,D2,1110559,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:22:36,10.0
D3,1.5e+03,View,76495,25.0,119.7,0.053,Multimodal,245259.0,1.002,35.794,39,D3,764950,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:23:14,10.0
D4,1.5e+03,View,69644,25.0,0.5,0.023,Multimodal,0.8,1.004,234.552,40,D4,696442,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:23:54,10.0
D5,1.6e+03,View,85719,25.0,0.6,0.021,Multimodal,1.1,1.003,121.451,41,D5,857194,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:24:32,10.0
D6,1.6e+03,View,125466,25.0,9.3,0.013,Multimodal,619.2,1.003,28.857,42,D6,1254658,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:25:11,10.0
D7,1.6e+03,View,78720,25.0,0.6,0.025,Multimodal,0.8,1.004,140.933,43,D7,787205,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:25:49,10.0
D8,1.7e+03,View,193980,25.0,0.4,0.004,52.8,0.3,1.000,3.154,44,D8,1939799,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:26:27,10.0
D9,1.7e+03,View,150104,25.0,0.5,0.012,Multimodal,0.6,1.002,16.869,45,D9,1501037,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:27:06,10.0
D10,1.8e+03,View,91163,25.0,0.7,0.011,Multimodal,1.3,1.001,22.459,46,D10,911627,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:27:43,10.0
D11,1.8e+03,View,103401,25.0,1.2,0.006,Multimodal,5.7,1.001,11.782,47,D11,1034014,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:28:21,10.0
D12,1.8e+03,View,83117,25.0,0.9,0.008,Multimodal,2.9,1.001,24.408,48,D12,831172,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:29:00,10.0
E1,1.9e+03,View,613157,25.0,454.5,0.378,Multimodal,5561962.4,1.176,360.198,49,E1,6131575,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:29:46,10.0
E2,1.9e+03,View,272668,25.0,295.5,0.230,Multimodal,2030780.4,1.054,100.775,50,E2,2726681,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:30:24,10.0
E3,2e+03,View,917201,25.0,483.8,0.331,Multimodal,6436637.1,1.129,353.094,51,E3,9172012,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:31:03,10.0
E4,2e+03,View,178466,25.0,246.5,0.156,Multimodal,1328812.9,1.015,36.042,52,E4,1784660,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:31:42,10.0
E5,2e+03,View,670822,25.0,1126.4,0.322,Multimodal,46505121.7,1.132,403.149,53,E5,6708220,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:32:21,10.0
E6,2.1e+03,View,369237,25.0,222.9,0.201,Multimodal,1049890.1,1.022,29.878,54,E6,3692368,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:32:59,10.0
E7,2.1e+03,View,266754,25.0,601.5,0.242,Multimodal,10717363.6,1.046,39.567,55,E7,2667542,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:33:38,10.0
E8,2.1e+03,View,289860,25.0,166.7,0.164,44.9,532191.2,1.012,4.407,56,E8,2898597,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:34:16,10.0
E9,2.2e+03,View,575667,25.0,249.2,0.214,Multimodal,1363853.3,1.030,51.469,57,E9,5756669,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:34:56,10.0
E10,2.2e+03,View,703132,25.0,985.9,0.702,Multimodal,34049013.0,1.080,575.601,58,E10,7031322,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:35:34,10.0
E11,2.3e+03,View,180080,25.0,368.9,0.226,Multimodal,3413614.5,1.070,30.149,59,E11,1800798,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:36:13,10.0
E12,2.3e+03,View,270872,25.0,552.3,0.307,Multimodal,8774866.8,1.173,126.335,60,E12,2708723,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:36:51,10.0
F1,2.3e+03,View,191804,25.0,627.9,0.288,Multimodal,11848346.2,1.172,249.801,61,F1,1918039,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:37:37,10.0
F2,2.4e+03,View,179826,25.0,286.7,0.150,Multimodal,1892080.5,1.028,42.193,62,F2,1798261,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:38:16,10.0
F3,2.4e+03,View,114553,25.0,265.2,0.197,Multimodal,1577160.5,1.020,38.752,63,F3,1145529,5,5,0,5.0,Water,1.333,0.89,Aqueous,15:38:54,10.0
