Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1,0,View,82816,25.1,0.9,0.011,Multimodal,2.9,1.005,37.312,1,A1,828157,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:22:57,10.0
A2,39,View,134221,25.1,2975.0,2.521,Multimodal,451282935.7,0.969,2840.678,2,A2,1342212,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:23:36,10.0
A3,77,View,142270,25.0,157.8,0.023,12.5,468079.6,1.007,34.209,3,A3,1422699,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:24:14,10.0
A4,1.2e+02,View,494138,25.0,242.4,0.233,0.0,1278338.1,0.985,6587.123,4,A4,4941381,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:24:53,10.0
A5,1.5e+02,View,10196018,25.0,189.5,0.173,0.0,718314.2,1.001,3273.222,5,A5,101960183,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:25:31,10.0
A6,1.9e+02,View,90813,25.0,701.3,0.203,Multimodal,15348318.2,1.072,134.460,6,A6,908134,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:26:10,10.0
A7,2.3e+02,View,147364,25.0,256.8,0.281,0.0,1462550.0,0.969,11298.637,7,A7,1473638,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:26:48,10.0
A8,2.7e+02,View,136843,25.0,255.7,0.274,0.0,1447579.8,1.009,7155.417,8,A8,1368432,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:27:28,10.0
A9,3.1e+02,View,162075,25.0,961.2,0.491,Multimodal,32089642.7,1.346,2011.935,9,A9,1620750,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:28:06,10.0
A10,3.5e+02,View,3186696,25.0,9697.6,8.330,Multimodal,7164293041.0,1.591,99707.343,10,A10,31866955,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:28:45,10.0
A11,3.9e+02,View,406136,25.0,7264.5,2.263,0.0,3644363673.9,2.252,8936.029,11,A11,4061364,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:29:27,10.0
A12,4.3e+02,View,76811,25.0,3390.4,0.645,Multimodal,612702565.7,1.207,1249.888,12,A12,768109,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:30:06,10.0
B1,4.7e+02,View,204510,25.0,6702.2,0.139,Multimodal,3018268715.8,0.978,10.760,13,B1,2045103,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:30:51,10.0
B2,5.1e+02,View,49959,25.0,--,0.000,--,--,1.000,10000000.000,14,B2,499592,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:31:30,10.0
B3,5.5e+02,View,100161,25.0,--,0.000,--,--,1.000,10000000.000,15,B3,1001608,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:32:09,10.0
B4,5.9e+02,View,201439,25.0,4.7,0.005,Multimodal,128.2,1.000,3.812,16,B4,2014394,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:32:47,10.0
B5,6.3e+02,View,102944,25.0,--,0.000,--,--,1.000,10000000.000,17,B5,1029436,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:33:26,10.0
B6,6.7e+02,View,65284,25.0,--,0.000,--,--,1.000,10000000.000,18,B6,652840,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:34:05,10.0
B7,7.1e+02,View,80847,25.0,1.8,0.026,Multimodal,13.3,1.005,114.346,19,B7,808474,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:34:43,10.0
B8,7.5e+02,View,74986,25.0,0.4,0.015,42.2,0.5,1.001,24.207,20,B8,749856,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:35:22,10.0
B9,7.8e+02,View,60169,25.0,--,0.000,--,--,1.000,10000000.000,21,B9,601692,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:36:00,10.0
B10,8.2e+02,View,242392,25.0,--,0.000,--,--,1.000,10000000.000,22,B10,2423922,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:36:39,10.0
B11,8.6e+02,View,106351,25.0,0.6,0.003,Multimodal,1.2,1.000,13.821,23,B11,1063514,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:37:17,10.0
B12,9e+02,View,77068,25.0,0.6,0.010,Multimodal,0.9,1.013,58.992,24,B12,770679,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:37:55,10.0
C1,9.5e+02,View,103517,25.0,212.2,0.151,Multimodal,935655.5,1.061,48.694,25,C1,1035174,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:38:42,10.0
