Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1,0,View,234073,25.1,268.3,0.235,Multimodal,1621207.1,1.381,837.158,1,A1,2340727,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:13:48,10.0
A2,48,View,446804,25.1,100.8,0.083,Multimodal,163921.1,1.021,46.570,2,A2,4468036,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:14:36,10.0
A3,87,View,200425,25.0,83.8,0.128,Multimodal,106462.6,1.060,19.882,3,A3,2004253,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:15:15,10.0
A4,1.3e+02,View,201064,25.0,92.5,0.099,Multimodal,134113.9,1.063,12.990,4,A4,2010640,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:15:53,10.0
A5,1.6e+02,View,425076,25.0,196.4,0.143,Multimodal,780794.7,1.037,171.881,5,A5,4250764,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:16:32,10.0
A6,2e+02,View,281780,25.0,82.7,0.066,Multimodal,103309.7,1.028,15.072,6,A6,2817805,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:17:11,10.0
A7,2.4e+02,View,726484,25.0,105.2,0.177,9.9,181088.7,1.007,317.468,7,A7,7264843,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:17:49,10.0
A8,2.8e+02,View,12258470,25.0,229.7,0.038,0.0,1127094.5,0.997,193.889,8,A8,122584703,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:18:28,10.0
A9,3.2e+02,View,4716834,25.0,297.8,0.152,0.0,2069195.4,0.985,2714.693,9,A9,47168342,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:19:06,10.0
A10,3.6e+02,View,6659780,25.0,270.7,0.198,0.0,1655056.3,0.973,7574.845,10,A10,66597798,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:19:44,10.0
A11,4e+02,View,1503736,25.0,347.7,0.299,0.0,2972603.9,1.366,2752.848,11,A11,15037355,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:20:28,10.0
A12,4.5e+02,View,213850,25.0,213.8,0.086,30.5,952502.1,1.037,99.112,12,A12,2138501,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:21:16,10.0
B1,4.9e+02,View,97645,25.0,89.4,0.045,Multimodal,123882.7,1.009,40.127,13,B1,976452,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:22:01,10.0
B2,5.3e+02,View,153970,25.0,61.2,0.015,Multimodal,51028.7,1.009,4.760,14,B2,1539696,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:22:40,10.0
B3,5.7e+02,View,94356,25.0,65.0,0.047,39.1,58708.6,1.033,12.422,15,B3,943562,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:23:19,10.0
B4,6.1e+02,View,151011,25.0,220.8,0.073,0.0,1027457.4,1.015,84.346,16,B4,1510112,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:23:57,10.0
B5,6.5e+02,View,171002,25.0,86.0,0.118,31.2,113224.2,1.130,9.939,17,B5,1710015,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:24:36,10.0
B6,6.9e+02,View,101094,25.0,49.1,0.031,Multimodal,30452.8,1.005,17.270,18,B6,1010941,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:25:15,10.0
B7,7.3e+02,View,129842,25.0,85.1,0.056,53.0,110455.1,1.006,24.467,19,B7,1298416,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:25:53,10.0
B8,7.6e+02,View,88057,25.0,0.7,0.013,Multimodal,1.2,1.003,51.766,20,B8,880574,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:26:32,10.0
B9,8e+02,View,121644,25.0,213.0,0.041,0.0,944045.7,0.999,181.965,21,B9,1216440,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:27:10,10.0
B10,8.4e+02,View,80089,25.0,276.6,0.096,0.0,1740095.9,0.988,1330.597,22,B10,800891,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:27:49,10.0
B11,8.8e+02,View,87288,25.0,3.5,0.013,Multimodal,63.9,1.004,42.097,23,B11,872880,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:28:27,10.0
B12,9.2e+02,View,92129,25.0,49.2,0.054,Multimodal,30596.3,1.001,56.433,24,B12,921288,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:29:06,10.0
C1,9.6e+02,View,73331,25.0,4.9,0.032,Multimodal,140.3,1.012,83.026,25,C1,733308,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:29:52,10.0
C2,1e+03,View,72652,25.0,1.0,0.013,Multimodal,3.1,1.002,22.860,26,C2,726520,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:30:31,10.0
C3,1e+03,View,66320,25.0,0.4,0.014,Multimodal,0.5,1.014,76.102,27,C3,663198,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:31:10,10.0
C4,1.1e+03,View,110582,25.0,1.0,0.011,Multimodal,3.1,1.003,25.010,28,C4,1105818,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:31:48,10.0
C5,1.1e+03,View,70673,25.0,--,0.000,--,--,1.000,10000000.000,29,C5,706729,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:32:26,10.0
C6,1.2e+03,View,64385,25.0,0.7,0.005,Multimodal,1.6,1.001,37.253,30,C6,643852,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:33:04,10.0
C7,1.2e+03,View,89142,25.0,--,0.000,--,--,1.000,10000000.000,31,C7,891421,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:33:42,10.0
C8,1.2e+03,View,90729,25.0,--,0.000,--,--,1.000,10000000.000,32,C8,907293,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:34:21,10.0
C9,1.3e+03,View,75588,25.0,--,0.000,--,--,1.000,10000000.000,33,C9,755879,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:34:59,10.0
C10,1.3e+03,View,62769,25.0,0.6,0.016,Multimodal,1.2,1.001,44.319,34,C10,627690,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:35:38,10.0
C11,1.3e+03,View,66325,25.0,0.6,0.021,Multimodal,1.0,1.001,476.130,35,C11,663254,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:36:16,10.0
C12,1.4e+03,View,92126,25.0,0.6,0.021,Multimodal,0.9,1.003,308.696,36,C12,921263,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:36:55,10.0
D1,1.4e+03,View,50167,25.0,0.3,-0.003,29.2,0.2,1.016,164.698,37,D1,501665,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:37:41,10.0
