Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1,0,View,82586,25.1,71.7,0.035,Multimodal,73871.9,1.022,17.315,1,A1,825857,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:15:15,10.0
A2,38,View,93501,25.1,119.2,0.045,Multimodal,242628.3,1.026,22.702,2,A2,935006,5,5,0,5.0,Water,1.333,0.88,Aqueous,11:15:53,10.0
A3,76,View,263040,25.1,411.8,0.287,0.0,4415080.1,1.007,373.228,3,A3,2630398,5,5,0,5.0,Water,1.333,0.88,Aqueous,11:16:31,10.0
A4,1.2e+02,View,457715,25.1,259.0,0.800,0.0,1492276.1,0.917,87453.629,4,A4,4577155,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:17:11,10.0
A5,1.6e+02,View,355322,25.1,205.3,0.148,0.0,865920.9,1.000,1133.972,5,A5,3553219,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:17:50,10.0
A6,1.9e+02,View,96022,25.0,79.3,0.064,Multimodal,93577.7,1.019,35.746,6,A6,960224,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:18:28,10.0
A7,2.3e+02,View,183016,25.0,196.5,0.121,0.0,782149.9,0.998,767.923,7,A7,1830158,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:19:07,10.0
A8,2.7e+02,View,268667,25.0,116.8,0.127,0.0,231741.7,1.010,2301.304,8,A8,2686665,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:19:46,10.0
A9,3.1e+02,View,223819,25.0,229.0,0.184,0.0,1118620.8,0.984,2724.825,9,A9,2238191,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:20:24,10.0
A10,3.5e+02,View,1074612,25.0,270.7,0.633,0.0,1654810.9,0.933,47313.984,10,A10,10746117,5,5,0,5.0,Water,1.333,0.89,Aqueous,11:21:03,10.0
