Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1,0,View,6030026,25.1,217.8,0,0,995023.5,1,0.035,1,A1,60300256,5,5,0,5,Water,1.333,0.89,Aqueous,13:17:34,10
A2,39,View,6740167,25.1,0.3,0,45.9,0.3,1,0.079,2,A2,67401665,5,5,0,5,Water,1.333,0.89,Aqueous,13:18:13,10
A3,78,View,2273126,25.1,0.7,0,Multimodal,1.6,1,0.723,3,A3,22731264,5,5,0,5,Water,1.333,0.89,Aqueous,13:18:52,10
A4,4.60E+03,View,132820,25,127.1,0.061,Multimodal,282344,1.01,13.569,118,A4,1328202,5,5,0,5,Water,1.333,0.89,Aqueous,14:34:41,10
A5,1.40E+02,View,5164319,25,0.5,0,Multimodal,0.8,1,0.055,5,A5,51643192,5,5,0,5,Water,1.333,0.89,Aqueous,13:19:51,10
A6,1.80E+02,View,2943543,25,176.6,0.001,0,608765.2,1,0.014,6,A6,29435428,5,5,0,5,Water,1.333,0.89,Aqueous,13:20:29,10
A7,2.10E+02,View,558913,25,138.7,0.012,Multimodal,346334,1.003,0.537,7,A7,5589130,5,5,0,5,Water,1.333,0.89,Aqueous,13:21:07,10
A8,2.50E+02,View,174780,25,102.1,0.023,Multimodal,169074.7,1.004,3.511,8,A8,1747802,5,5,0,5,Water,1.333,0.89,Aqueous,13:21:45,10
A9,2.90E+02,View,242085,25,41.6,0.03,Multimodal,20689.2,1.002,6.406,9,A9,2420846,5,5,0,5,Water,1.333,0.89,Aqueous,13:22:24,10
A10,3.30E+02,View,99432,25,188.1,0.043,0,705719.3,1.007,83.167,10,A10,994316,5,5,0,5,Water,1.333,0.89,Aqueous,13:23:02,10
A11,3.70E+02,View,161524,25,254.3,0.141,0,1430190.6,0.988,2456.728,11,A11,1615239,5,5,0,5,Water,1.333,0.89,Aqueous,13:23:41,10
A12,4.10E+02,View,123936,25,109.4,0.043,Multimodal,198609.3,1.025,45.524,12,A12,1239363,5,5,0,5,Water,1.333,0.89,Aqueous,13:24:19,10
B1,4.50E+02,View,2914214,25,206.2,0.001,Multimodal,874930.4,1,0.023,13,B1,29142138,5,5,0,5,Water,1.333,0.89,Aqueous,13:25:06,10
B2,4.70E+03,View,81535,25,0.6,0.022,Multimodal,1,1.003,37.229,119,B2,815354,5,5,0,5,Water,1.333,0.89,Aqueous,14:35:31,10
B3,4.70E+03,View,184063,25,36.1,0.012,Multimodal,14794,1,4.187,120,B3,1840630,5,5,0,5,Water,1.333,0.89,Aqueous,14:36:09,10
B4,5.30E+02,View,3751634,25,--,0,--,--,1,10000000,16,B4,37516336,5,5,0,5,Water,1.333,0.89,Aqueous,13:26:27,10
B5,5.70E+02,View,15139055,25,--,0,--,--,1,10000000,17,B5,151390547,5,5,0,5,Water,1.333,0.89,Aqueous,13:27:05,10
B6,6.10E+02,View,17340107,25,--,0,--,--,1,10000000,18,B6,173401064,5,5,0,5,Water,1.333,0.89,Aqueous,13:27:44,10
B7,6.50E+02,View,16003827,25,0.3,0,29.2,0.3,1,0.001,19,B7,160038269,5,5,0,5,Water,1.333,0.89,Aqueous,13:28:23,10
