Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1 (Incomplete),0,View,--,--,--,--,--,--,--,--,1,A1,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:08:29,3.3
A2 (Incomplete),21,View,--,--,--,--,--,--,--,--,2,A2,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:08:50,3.0
A3,43,View,62538,25.1,0.5,0.016,Multimodal,0.6,1.002,82.620,3,A3,625385,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:09:12,10.0
A4,81,View,89827,25.1,1.1,0.002,Multimodal,4.4,1.000,19.216,4,A4,898267,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:09:50,10.0
A5 (Incomplete),1.2e+02,View,--,--,--,--,--,--,--,--,5,A5,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:10:29,5.1
A6 (Incomplete),1.7e+02,View,--,--,--,--,--,--,--,--,6,A6,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:11:14,2.5
A7 (Incomplete),1.9e+02,View,--,--,--,--,--,--,--,--,7,A7,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:11:36,3.8
A8 (Incomplete),2.1e+02,View,--,--,--,--,--,--,--,--,8,A8,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:11:59,3.9
A9 (Incomplete),2.3e+02,View,--,--,--,--,--,--,--,--,9,A9,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:12:21,6.5
A10 (Incomplete),2.6e+02,View,--,--,--,--,--,--,--,--,10,A10,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:12:44,5.1
A11 (Incomplete),2.9e+02,View,--,--,--,--,--,--,--,--,11,A11,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:13:23,5.1
A12 (Incomplete),3.2e+02,View,--,--,--,--,--,--,--,--,12,A12,--,1,1,0,5.0,Water,1.333,--,Aqueous,14:13:46,3.8
B1,3.6e+02,View,12793915,25.0,180.2,0.080,Multimodal,638676.8,1.010,6.474,13,B1,127939144,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:14:29,10.0
B2,4.4e+02,View,10312300,25.0,260.2,0.104,Multimodal,1508728.4,1.015,13.215,14,B2,103122998,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:15:48,10.0
B3,5e+02,View,7624256,25.0,270.0,0.131,Multimodal,1644098.4,1.020,30.145,15,B3,76242558,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:16:48,10.0
B4,5.4e+02,View,4925328,25.0,210.2,0.197,Multimodal,915621.6,1.016,45.581,16,B4,49253277,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:17:33,10.0
B5,5.8e+02,View,957750,25.0,154.3,0.192,Multimodal,444048.0,1.017,13.890,17,B5,9577502,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:18:12,10.0
B6,6.2e+02,View,101633,25.0,78.2,0.031,Multimodal,90543.2,1.002,22.196,18,B6,1016334,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:18:51,10.0
B7,6.6e+02,View,119972,25.0,1.2,0.013,Multimodal,5.0,1.003,24.116,19,B7,1199718,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:19:29,10.0
B8,7e+02,View,130318,25.0,0.8,0.007,Multimodal,1.9,1.001,12.035,20,B8,1303177,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:20:08,10.0
B9,7.4e+02,View,231048,25.0,0.3,-0.000,29.2,0.2,1.000,6.150,21,B9,2310481,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:20:47,10.0
B10,7.8e+02,View,378749,25.0,0.3,-0.000,29.2,0.2,1.000,3.735,22,B10,3787494,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:21:25,10.0
B11,8.1e+02,View,70746,25.0,--,0.000,--,--,1.000,10000000.000,23,B11,707458,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:22:03,10.0
B12,8.5e+02,View,82000,25.0,--,0.000,--,--,1.000,10000000.000,24,B12,820005,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:22:41,10.0
C1,9e+02,View,441816,25.0,383.0,0.226,Multimodal,3726677.0,1.051,67.695,25,C1,4418158,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:23:28,10.0
C2,9.4e+02,View,740445,25.0,154.4,0.038,Multimodal,444591.6,1.004,8.906,26,C2,7404448,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:24:06,10.0
C3,9.8e+02,View,91679,25.0,--,0.000,--,--,1.000,10000000.000,27,C3,916788,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:24:45,10.0
C4,1e+03,View,66924,25.0,--,0.000,--,--,1.000,10000000.000,28,C4,669243,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:25:23,10.0
C5,1.1e+03,View,197241,25.0,173.6,0.077,Multimodal,585376.4,1.005,8.481,29,C5,1972410,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:26:02,10.0
C6,1.1e+03,View,275743,25.0,283.4,0.151,Multimodal,1841678.5,1.016,14.128,30,C6,2757431,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:26:40,10.0
C7,1.1e+03,View,391814,25.0,279.2,0.071,Multimodal,1778415.1,1.007,3.866,31,C7,3918140,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:27:19,10.0
C8,1.2e+03,View,288604,25.0,332.2,0.071,Multimodal,2671754.3,1.014,6.781,32,C8,2886038,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:27:58,10.0
C9,1.2e+03,View,163666,25.0,295.4,0.154,Multimodal,2029990.3,1.022,30.730,33,C9,1636660,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:28:35,10.0
C10,1.2e+03,View,185836,25.0,203.7,0.076,Multimodal,850813.7,1.009,9.920,34,C10,1858362,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:29:13,10.0
C11,1.3e+03,View,226124,25.0,244.2,0.109,Multimodal,1300534.8,1.011,12.952,35,C11,2261243,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:29:51,10.0
C12,1.3e+03,View,205764,25.0,233.7,0.108,Multimodal,1172730.5,1.026,16.952,36,C12,2057644,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:30:30,10.0
D1,1.4e+03,View,200513,25.0,172.8,0.041,Multimodal,579180.5,1.008,4.426,37,D1,2005135,5,5,0,5.0,Water,1.333,0.89,Aqueous,14:31:16,10.0
