Item,Time (s),Image,Intensity (Cnt/s),DLS Temp (C),Radius (nm),Amplitude,%PD,Mw-R (kDa),Baseline,SOS,Measurement ID,Well,Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,Acq Time (s),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,Time Stamp,Laser Power (%)
A1,0,View,331270,25.1,141.4,0.044,Multimodal,362088.2,1.017,2.805,1,A1,3312703,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:53:56,10.0
A2,38,View,73628,25.1,63.7,0.036,Multimodal,56070.2,1.005,30.868,2,A2,736280,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:54:34,10.0
A3,76,View,482418,25.1,161.3,0.009,Multimodal,492866.7,1.004,1.432,3,A3,4824184,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:55:12,10.0
A4,1.2e+02,View,142379,25.1,102.2,0.023,Multimodal,169545.4,1.001,6.927,4,A4,1423790,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:55:51,10.0
A5,1.5e+02,View,724407,25.0,22.2,0.091,0.0,4745.0,1.003,54.855,5,A5,7244070,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:56:30,10.0
A6,1.9e+02,View,169848,25.0,182.2,0.115,0.0,655302.4,1.013,489.945,6,A6,1698480,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:57:09,10.0
A7,2.3e+02,View,455643,25.0,249.4,0.280,0.0,1366481.4,0.972,9564.708,7,A7,4556428,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:57:47,10.0
A8,2.7e+02,View,228430,25.0,85.6,0.113,0.0,111803.1,1.008,750.336,8,A8,2284295,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:58:26,10.0
A9,3.1e+02,View,1161014,25.0,322.5,0.262,0.0,2493204.3,0.966,12647.285,9,A9,11610136,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:59:04,10.0
A10,3.5e+02,View,893019,25.0,222.3,0.086,0.0,1043938.8,0.996,522.034,10,A10,8930193,5,5,0,5.0,Water,1.333,0.89,Aqueous,12:59:43,10.0
A11,3.9e+02,View,809351,25.0,304.9,0.375,0.0,2186272.5,0.947,24520.975,11,A11,8093507,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:00:21,10.0
A12,4.2e+02,View,222233,25.0,82.6,0.012,Multimodal,103019.6,1.000,4.028,12,A12,2222334,5,5,0,5.0,Water,1.333,0.89,Aqueous,13:00:59,10.0
